,date,code,open,high,low,close,preclose,volume,amount,pctChg
775,2015-03-20,sz.399620,4257.0400,4366.1570,4256.1180,4326.4280,4261.9840,3285930688,68093384960.0000,1.512074
776,2015-03-23,sz.399620,4351.0980,4480.8440,4351.0080,4480.6610,4326.4280,3350011312,74865729536.0000,3.564902
777,2015-03-24,sz.399620,4506.0140,4586.5720,4392.2830,4584.9390,4480.6610,4075680912,91008319488.0000,2.327287
778,2015-03-25,sz.399620,4590.4080,4659.9900,4554.8980,4607.9640,4584.9390,3503294960,83813429248.0000,0.502186
779,2015-03-26,sz.399620,4568.3430,4571.7980,4397.0680,4420.0820,4607.9640,3018154656,75543654400.0000,-4.077329
780,2015-03-27,sz.399620,4397.8730,4487.0740,4388.5870,4480.7830,4420.0820,2071853504,51845256448.0000,1.373304
781,2015-03-30,sz.399620,4482.5780,4503.2640,4401.6440,4441.4110,4480.7830,2629953312,58417129728.0000,-0.878687
782,2015-03-31,sz.399620,4437.6050,4559.9110,4429.6650,4517.0110,4441.4110,2558111120,63964945664.0000,1.702164
783,2015-04-01,sz.399620,4528.3530,4652.4970,4526.9120,4640.1500,4517.0110,2514078560,60280762112.0000,2.726110
784,2015-04-02,sz.399620,4680.2230,4764.6500,4680.2230,4759.8380,4640.1500,3306465296,75790004224.0000,2.579399
785,2015-04-03,sz.399620,4743.3390,4810.6250,4722.0590,4802.7750,4759.8380,2818453024,69811544064.0000,0.902069
786,2015-04-07,sz.399620,4833.1890,4881.7670,4823.1030,4880.4850,4802.7750,3120833840,75150503936.0000,1.618022
787,2015-04-08,sz.399620,4892.7080,4893.4510,4688.0500,4765.3840,4880.4850,3230332192,78198083584.0000,-2.358394
788,2015-04-09,sz.399620,4763.6430,4766.2810,4516.5840,4755.7050,4765.3840,2961404080,74469933056.0000,-0.203105
789,2015-04-10,sz.399620,4728.0190,4889.6880,4697.1060,4867.6700,4755.7050,2659976304,67799101696.0000,2.354327
790,2015-04-13,sz.399620,4874.5110,4949.3780,4845.0670,4933.4190,4867.6700,3259708384,75552739328.0000,1.350729
791,2015-04-14,sz.399620,4937.5440,4955.5750,4848.8140,4886.7720,4933.4190,3416407488,70563778560.0000,-0.945530
792,2015-04-15,sz.399620,4867.4770,4867.4770,4654.2280,4654.2280,4886.7720,4271847536,69591982080.0000,-4.758641
793,2015-04-16,sz.399620,4616.4830,4774.5800,4570.5740,4713.6630,4654.2280,2750237216,54509019648.0000,1.277012
